Start_Time,State,Weather_Condition
2016-02-08 05:46:00,OH,Light Rain
2016-02-08 06:07:59,OH,Light Rain
2016-02-08 06:49:27,OH,Overcast
2016-02-08 07:23:34,OH,Mostly Cloudy
2016-02-08 07:39:07,OH,Mostly Cloudy
2016-02-08 07:44:26,OH,Light Rain
2016-02-08 07:59:35,OH,Overcast
2016-02-08 07:59:58,OH,Overcast
2016-02-08 08:00:40,OH,Mostly Cloudy
2016-02-08 08:10:04,OH,Light Rain
2016-02-08 08:14:42,OH,Rain
2016-02-08 08:21:27,OH,Light Rain
2016-02-08 08:36:34,OH,Overcast
2016-02-08 08:37:07,OH,Mostly Cloudy
2016-02-08 08:39:43,OH,Light Rain
2016-02-08 08:43:20,OH,Overcast
2016-02-08 08:53:17,OH,Mostly Cloudy
2016-02-08 09:24:37,OH,Mostly Cloudy
2016-02-08 09:25:17,OH,Overcast
2016-02-08 09:35:35,OH,Mostly Cloudy
2016-02-08 10:11:15,OH,Light Snow
2016-02-08 10:24:27,OH,Mostly Cloudy
2016-02-08 11:53:19,OH,Overcast
2016-02-08 12:00:00,OH,Overcast
2016-02-08 12:16:44,OH,Overcast
2016-02-08 12:41:08,OH,Light Snow
2016-02-08 12:52:05,OH,Light Snow
2016-02-08 14:24:48,OH,Mostly Cloudy
2016-02-08 14:56:57,OH,Mostly Cloudy
2016-02-08 15:26:14,OH,Mostly Cloudy
2016-02-08 16:16:08,OH,Overcast
2016-02-08 17:39:24,OH,Light Rain
2016-02-08 18:24:00,OH,Overcast
2016-02-08 19:28:00,OH,Overcast
2016-02-08 20:22:38,OH,Light Snow
2016-02-08 20:43:00,OH,Overcast
2016-02-09 04:28:48,OH,Light Snow
2016-02-09 05:04:34,OH,Light Snow
2016-02-09 05:17:08,OH,Light Snow
2016-02-09 05:27:20,OH,Light Snow
2016-02-09 05:40:57,OH,Light Snow
2016-02-09 05:47:16,OH,Light Snow
2016-02-09 05:56:10,OH,Light Snow
2016-02-09 06:06:45,OH,Light Snow
2016-02-09 06:13:33,OH,Light Snow
2016-02-09 06:12:49,OH,Light Snow
2016-02-09 06:21:50,OH,Light Snow
2016-02-09 06:20:46,OH,Light Snow
2016-02-09 06:34:41,OH,Light Snow
2016-02-09 06:41:09,OH,Light Snow
2016-02-09 06:48:18,OH,Light Snow
2016-02-09 06:53:09,OH,Light Snow
2016-02-09 06:54:31,OH,Light Snow
2016-02-09 07:03:20,OH,Light Snow
2016-02-09 07:05:37,OH,Light Snow
2016-02-09 07:04:58,OH,Light Snow
2016-02-09 07:15:41,OH,Light Snow
2016-02-09 07:41:01,OH,Light Snow
2016-02-09 07:42:43,OH,Light Snow
2016-02-09 07:42:11,OH,Light Snow
2016-02-09 07:46:41,OH,Light Snow
2016-02-09 07:54:44,OH,Light Snow
2016-02-09 08:06:39,OH,Light Snow
2016-02-09 08:12:44,OH,Light Snow
2016-02-09 08:10:20,OH,Light Snow
2016-02-09 08:23:36,OH,Light Snow
2016-02-09 08:24:29,OH,Light Snow
2016-02-09 08:20:30,OH,Overcast
2016-02-09 08:35:53,OH,Overcast
2016-02-09 10:06:46,OH,Overcast
2016-02-09 11:09:37,OH,Light Snow
2016-02-10 06:18:16,OH,Light Snow
2016-02-10 06:06:00,OH,Light Snow
2016-02-10 06:24:29,OH,Light Snow
2016-02-10 06:53:02,OH,Light Snow
2016-02-10 07:50:52,OH,Light Snow
2016-02-10 07:50:08,OH,Light Snow
2016-02-10 08:01:30,OH,Light Snow
2016-02-10 08:08:36,OH,Light Snow
2016-02-10 08:11:22,OH,Light Snow
2016-02-10 08:50:54,OH,Light Snow
2016-02-10 09:03:53,OH,Haze
2016-02-10 09:42:04,OH,Light Snow
2016-02-10 10:38:58,OH,Light Snow
2016-02-10 17:10:00,OH,Light Snow
2016-02-10 18:09:00,OH,Light Snow
2016-02-10 18:41:44,OH,Overcast
2016-02-11 05:32:29,OH,Light Snow
2016-02-11 05:30:51,OH,Light Snow
2016-02-11 06:10:07,OH,Scattered Clouds
2016-02-11 06:20:28,OH,Overcast
2016-02-11 06:29:00,OH,Overcast
2016-02-11 07:17:58,OH,Partly Cloudy
2016-02-11 07:18:39,OH,Clear
2016-02-11 07:21:55,OH,Light Snow
2016-02-11 07:28:16,OH,Overcast
2016-02-11 07:29:06,OH,Mostly Cloudy
2016-02-11 07:53:55,OH,Clear
2016-02-11 08:07:02,OH,Scattered Clouds
2016-02-11 08:13:24,OH,Scattered Clouds
2016-02-11 08:23:17,OH,Overcast
2016-02-11 08:34:14,OH,Overcast
2016-02-11 08:29:21,OH,Overcast
2016-02-11 09:16:13,OH,Clear
2016-02-11 09:16:13,OH,Mostly Cloudy
2016-02-11 09:31:23,OH,Overcast
2016-02-11 09:37:31,OH,Overcast
2016-02-11 09:46:39,OH,Overcast
2016-02-11 10:48:29,OH,Mostly Cloudy
2016-02-11 10:53:56,OH,Clear
2016-02-11 11:21:42,OH,Mostly Cloudy
2016-02-11 12:24:45,OH,Mostly Cloudy
2016-02-11 12:24:18,OH,Mostly Cloudy
2016-02-11 13:44:46,OH,Mostly Cloudy
2016-02-11 14:16:49,OH,Mostly Cloudy
2016-02-11 15:34:06,OH,Mostly Cloudy
2016-02-11 16:34:27,OH,Mostly Cloudy
2016-02-11 17:10:00,OH,Mostly Cloudy
2016-02-11 18:27:00,OH,Mostly Cloudy
2016-02-11 19:11:00,OH,Light Snow
2016-02-11 19:22:00,OH,Mostly Cloudy
2016-02-11 20:48:00,OH,Scattered Clouds
2016-02-12 16:16:51,OH,Light Snow
2016-02-12 16:42:52,OH,Light Snow
2016-02-12 17:47:41,OH,Light Snow
2016-02-12 20:04:00,OH,Light Snow
2016-02-12 20:12:00,OH,Light Snow
2016-02-12 20:41:00,OH,Scattered Clouds
2016-02-12 23:48:00,OH,Mostly Cloudy
2016-02-13 11:05:00,OH,Partly Cloudy
2016-02-13 11:05:21,OH,Scattered Clouds
2016-02-13 11:17:01,OH,Clear
2016-02-13 11:25:42,OH,Scattered Clouds
2016-02-13 12:56:31,OH,Mostly Cloudy
2016-02-13 12:55:47,OH,Mostly Cloudy
2016-02-14 10:13:00,OH,Scattered Clouds
2016-02-14 10:49:23,OH,Scattered Clouds
2016-02-14 10:41:57,OH,Scattered Clouds
2016-02-14 18:15:23,OH,Snow
2016-02-14 19:17:01,OH,Light Snow
2016-02-15 04:53:47,OH,Overcast
2016-02-15 05:22:00,OH,Overcast
2016-02-15 05:42:25,OH,Light Freezing Drizzle
2016-02-15 06:36:00,OH,Light Snow
2016-02-15 07:02:39,OH,Light Freezing Drizzle
2016-02-15 07:17:51,OH,Light Freezing Drizzle
2016-02-15 07:15:56,OH,Light Snow
2016-02-15 07:07:00,OH,Light Snow
2016-02-15 07:23:58,OH,Light Freezing Drizzle
2016-02-15 07:28:24,OH,Light Freezing Drizzle
